id,Name,shirt_number,Position,Age,Ht (cm),Wt(Kg),national_id,Country
IT-MF-FC26,Federico Chiesa,14,MF,26,173,70,IT,Italy
IT-MF-GB35,Giacomo Bonaventura,7,MF,35,178,75,IT,Italy
IT-MF-J32,Jorginho,8,MF,32,178,65,IT,Italy
IT-MF-LP28,Lorenzo Pellegrini,10,MF,28,185,77,IT,Italy
IT-MF-MF26,Michael Folorunsho,26,MF,26,183,-,IT,Italy
IT-MF-ML26,Manuel Locatelli,5,MF,26,178,70,IT,Italy
IT-MF-MZ29,Mattia Zaccagni,20,MF,29,175,63,IT,Italy
IT-MF-NB27,Nicolò Barella,18,MF,27,170,68,IT,Italy
IT-MF-NZ25,Nicolò Zaniolo,22,MF,25,188,79,IT,Italy
NL-DF-DB34,Daley Blind,17,DF,34,178,72,NL,Netherlands
NL-DF-JF23,Jeremie Frimpong,21,DF,23,170,65,NL,Netherlands
NL-DF-LG24,Lutsharel Geertruida,2,DF,24,178,75,NL,Netherlands
NL-DF-Md25,Matthijs de Ligt,3,DF,25,188,89,NL,Netherlands
NL-DF-Mv23,Micky van de Ven,3,DF,23,191,81,NL,Netherlands
NL-DF-NA29,Nathan Aké,5,DF,29,178,75,NL,Netherlands
NL-DF-QH22,Quilindschy Hartman,12,DF,22,183,-,NL,Netherlands
NL-DF-Sd32,Stefan de Vrij,6,DF,32,188,78,NL,Netherlands
NL-DF-Vv33,Virgil van Dijk,4,DF,33,193,92,NL,Netherlands
NL-FW-BB22,Brian Brobbey,,FW,22,178,78,NL,Netherlands
NL-FW-CG25,Cody Gakpo,11,FW,25,191,76,NL,Netherlands
NL-FW-DM25,Donyell Malen,18,FW,25,175,68,NL,Netherlands
NL-FW-JZ23,Joshua Zirkzee,,FW,23,191,89,NL,Netherlands
NL-FW-MD30,Memphis Depay,10,FW,30,178,78,NL,Netherlands
NL-FW-WW32,Wout Weghorst,9,FW,32,196,82,NL,Netherlands
NL-GK-BV21,Bart Verbruggen,1,GK,21,191,-,NL,Netherlands
NL-GK-MB33,Marco Bizot,13,GK,33,191,85,NL,Netherlands
NL-GK-MF31,Mark Flekken,23,GK,31,193,87,NL,Netherlands
NL-GK-NO29,Nick Olij,,GK,29,188,74,NL,Netherlands
NL-MF-DD28,Denzel Dumfries,22,MF,28,183,80,NL,Netherlands
NL-MF-Fd27,Frenkie de Jong,,MF,27,180,74,NL,Netherlands
NL-MF-GW33,Georginio Wijnaldum,8,MF,33,173,74,NL,Netherlands
NL-MF-JS27,Jerdy Schouten,6,MF,27,183,72,NL,Netherlands
NL-MF-JV25,Joey Veerman,16,MF,25,183,-,NL,Netherlands
NL-MF-Md33,Marten de Roon,15,MF,33,185,76,NL,Netherlands
NL-MF-MW24,Mats Wieffer,19,MF,24,188,-,NL,Netherlands
NL-MF-QT23,Quinten Timber,12,MF,23,175,-,NL,Netherlands
NL-MF-TK26,Teun Koopmeiners,20,MF,26,183,77,NL,Netherlands
NL-MF-TR26,Tijani Reijnders,14,MF,26,183,-,NL,Netherlands
NL-MF-XS21,Xavi Simons,7,MF,21,178,58,NL,Netherlands
PL-DF-BB32,Bartosz Bereszyński,18,DF,32,180,78,PL,Poland
PL-DF-BS33,Bartosz Salamon,17,DF,33,196,89,PL,Poland
PL-DF-JB28,Jan Bednarek,5,DF,28,188,77,PL,Poland
PL-DF-JK24,Jakub Kiwior,14,DF,24,188,75,PL,Poland
PL-DF-PD29,Paweł Dawidowicz,3,DF,29,188,80,PL,Poland
PL-DF-SW24,Sebastian Walukiewicz,2,DF,24,188,85,PL,Poland
PL-DF-TP25,Tymoteusz Puchacz,4,DF,25,178,81,PL,Poland
PL-FW-AB28,Adam Buksa,15,FW,28,191,80,PL,Poland
PL-FW-KP29,Krzysztof Piątek,23,FW,29,183,77,PL,Poland
PL-FW-KŚ27,Karol Świderski,7,FW,27,183,74,PL,Poland
PL-FW-RL36,Robert Lewandowski,9,FW,36,183,81,PL,Poland
PL-GK-ŁS33,Łukasz Skorupski,12,GK,33,185,84,PL,Poland
PL-GK-MB24,Marcin Bułka,22,GK,24,198,99,PL,Poland
PL-GK-WS34,Wojciech Szczęsny,1,GK,34,193,84,PL,Poland
PL-MF-BS25,Bartosz Slisz,8,MF,25,178,70,PL,Poland
PL-MF-DS29,Damian Szymański,16,MF,29,183,70,PL,Poland
PL-MF-JP26,Jakub Piotrowski,6,MF,26,188,78,PL,Poland
PL-MF-KG36,Kamil Grosicki,11,MF,36,178,78,PL,Poland
PL-MF-NZ22,Nicola Zalewski,21,MF,22,173,69,PL,Poland
PL-MF-PF29,Przemysław Frankowski,19,MF,29,173,70,PL,Poland
PL-MF-PZ30,Piotr Zieliński,10,MF,30,175,64,PL,Poland
PL-MF-SS25,Sebastian Szymański,20,MF,25,173,60,PL,Poland
PL-MF-TR32,Taras Romanczuk,13,MF,32,185,73,PL,Poland
PT-DF-AS20,António Silva,4,DF,20,185,79,PT,Portugal
PT-DF-DD25,Diogo Dalot,2,DF,25,183,75,PT,Portugal
PT-DF-DL25,Diogo Leite,5,DF,25,188,70,PT,Portugal
PT-DF-DP32,Danilo Pereira,13,DF,32,188,83,PT,Portugal
PT-DF-GI22,Gonçalo Inácio,14,DF,22,185,78,PT,Portugal
PT-DF-JC30,João Cancelo,20,DF,30,180,74,PT,Portugal
PT-DF-JM24,João Mário,15,DF,24,178,62,PT,Portugal
PT-DF-NM22,Nuno Mendes,19,DF,22,175,70,PT,Portugal
PT-DF-NS30,Nelson Semedo,2,DF,30,175,69,PT,Portugal
PT-DF-P41,Pepe,3,DF,41,188,81,PT,Portugal
PT-DF-RD27,Rúben Dias,4,DF,27,185,83,PT,Portugal
PT-DF-RG30,Raphael Guerreiro,5,DF,30,168,71,PT,Portugal
PT-DF-TG25,Toti Gomes,13,DF,25,185,72,PT,Portugal
PT-FW-B29,Bruma,17,FW,29,173,70,PT,Portugal
PT-FW-CC21,Chico Conceição,21,FW,21,168,-,PT,Portugal
PT-FW-CR39,Cristiano Ronaldo,7,FW,39,183,80,PT,Portugal
PT-FW-DM26,Dany Mota,9,FW,26,178,-,PT,Portugal
PT-FW-FT24,Francisco Trincão,,FW,24,183,76,PT,Portugal
PT-FW-GR23,Gonçalo Ramos,9,FW,23,183,77,PT,Portugal
PT-FW-JF24,João Félix,10,FW,24,178,70,PT,Portugal
PT-FW-JS25,Jota Silva,11,FW,25,178,-,PT,Portugal
PT-FW-RL25,Rafael Leão,17,FW,25,188,81,PT,Portugal
PT-GK-DC24,Diogo Costa,22,GK,24,191,80,PT,Portugal
PT-GK-JS31,José Sá,12,GK,31,191,84,PT,Portugal
PT-GK-RP36,Rui Patrício,1,GK,36,188,84,PT,Portugal
PT-GK-SS22,Samuel Soares,22,GK,22,188,83,PT,Portugal
PT-MF-BF29,Bruno Fernandes,8,MF,29,183,64,PT,Portugal
PT-MF-BS30,Bernardo Silva,10,MF,30,173,64,PT,Portugal
PT-MF-JP19,João Pedro Gonçalves Neves,6,MF,19,178,-,PT,Portugal
PT-MF-JP29,João Palhinha,6,MF,29,188,77,PT,Portugal
PT-MF-MN25,Matheus Nunes,23,MF,25,183,78,PT,Portugal
PT-MF-O29,Otávio,16,MF,29,170,56,PT,Portugal
PT-MF-RN27,Rúben Neves,18,MF,27,178,72,PT,Portugal
PT-MF-V24,Vítinha,23,MF,24,170,65,PT,Portugal
RO-DF-AA31,Andrei Artean,15,DF,31,188,-,RO,Romania
RO-DF-AB27,Andrei Burcă,4,DF,27,183,70,RO,Romania
RO-DF-AC22,Andrei Cordea,3,DF,22,188,-,RO,Romania
RO-DF-AC31,Alexandru Cicâldău,22,DF,31,185,84,RO,Romania
RO-DF-AR24,Andrei Rațiu,22,DF,24,183,-,RO,Romania
RO-DF-AS26,Antonio Șefer,11,DF,26,183,78,RO,Romania
RO-DF-AS28,Adrian Șut,17,DF,28,188,-,RO,Romania
RO-DF-GP31,George Puşcaş,11,DF,31,180,72,RO,Romania
RO-DF-HM25,Horațiu Moldovan,1,DF,25,185,75,RO,Romania
RO-DF-RM26,Radu Matei Drăgusin,2,DF,26,183,-,RO,Romania
RO-DF-RM28,Răzvan Marin,5,DF,28,188,79,RO,Romania
RO-DF-VM26,Vlad Mihai Dragomir,,DF,26,185,80,RO,Romania
RO-FW-AP24,Alexandru Păscanu,24,FW,24,180,70,RO,Romania
RO-FW-AR25,Andrei Radu,19,FW,25,178,73,RO,Romania
RO-FW-DA33,Denis Alibec,7,FW,33,185,88,RO,Romania
RO-FW-DC25,Deian Cristian Sorescu,20,FW,25,180,82,RO,Romania
RO-FW-NS28,Nicolae Stanciu,9,FW,28,185,80,RO,Romania
RO-FW-ST24,Ștefan Târnoveanu,13,FW,24,175,60,RO,Romania
RO-FW-VG26,Virgil Ghiță,25,FW,26,180,72,RO,Romania
RO-FW-VM29,Vasile Mogoș,27,FW,29,183,-,RO,Romania
RO-GK-AR26,Adrian Rus,12,GK,26,188,-,RO,Romania
RO-GK-DA37,Denis Alibec,1,GK,37,183,76,RO,Romania
RO-GK-DD24,Denis Drăguș,16,GK,24,185,82,RO,Romania
RO-GK-DO27,Darius Olaru,16,GK,27,188,70,RO,Romania
RO-GK-RO24,Raul Opruț,16,GK,24,196,81,RO,Romania
RO-MF-CM27,Cristian Manea,8,MF,27,178,-,RO,Romania
RO-MF-DM26,Dennis Man,24,MF,26,175,73,RO,Romania
RO-MF-FC25,Florinel Coman,14,MF,25,178,60,RO,Romania
RO-MF-FN31,Florin Niță,10,MF,31,168,63,RO,Romania
RO-MF-FT25,Florin Tănase,,MF,25,178,75,RO,Romania
RO-MF-IH25,Ianis Hagi,6,MF,25,178,69,RO,Romania
RO-MF-IN31,Ionuț Nedelcearu,13,MF,31,185,81,RO,Romania
RO-MF-MA25,Mihai Aioani,21,MF,25,173,71,RO,Romania
RO-MF-MM26,Marius Marin,23,MF,26,173,-,RO,Romania
RO-MF-NB28,Nicuşor Bancu,18,MF,28,173,-,RO,Romania
RO-MF-OM25,Olimpiu Moruțan,26,MF,25,185,-,RO,Romania
RO-MF-VM25,Valentin Mihăilă,23,MF,25,180,-,RO,Romania
RS-DF-AT24,Aleksa Terzić,13,DF,24,183,71,RS,Serbia
RS-DF-EM25,Erhan Masović,13,DF,25,188,82,RS,Serbia
RS-DF-FM33,Filip Mladenović,3,DF,33,180,65,RS,Serbia
RS-DF-MN31,Matija Nastasić,,DF,31,188,83,RS,Serbia
RS-DF-NM26,Nikola Milenković,4,DF,26,193,90,RS,Serbia
RS-DF-SB28,Srdjan Babić,15,DF,28,193,88,RS,Serbia
RS-DF-SE23,Strahinja Eraković,16,DF,23,183,77,RS,Serbia
RS-DF-SP23,Strahinja Pavlović,2,DF,23,193,85,RS,Serbia
RS-FW-AM29,Aleksandar Mitrović,9,FW,29,188,90,RS,Serbia
RS-FW-AŽ28,Andrija Živković,14,FW,28,168,68,RS,Serbia
RS-FW-DT35,Dušan Tadić,10,FW,35,180,76,RS,Serbia
RS-FW-DV24,Dušan Vlahović,18,FW,24,188,78,RS,Serbia
RS-FW-LJ26,Luka Jović,8,FW,26,180,85,RS,Serbia
RS-FW-SB-,Samed Bazdar,21,FW,-,186,-,RS,Serbia
RS-GK-DP24,Đorđe Petrović,12,GK,24,193,89,RS,Serbia
RS-GK-PR28,Predrag Rajković,1,GK,28,191,85,RS,Serbia
RS-GK-VM27,Vanja Milinković-Savić,23,GK,27,201,92,RS,Serbia
RS-MF-FK31,Filip Kostić,11,MF,31,183,84,RS,Serbia
RS-MF-LS22,Lazar Samardžić,19,MF,22,175,-,RS,Serbia
RS-MF-MG28,Milan Gajić,15,MF,28,175,74,RS,Serbia
RS-MF-MG29,Mijat Gaćinović,7,MF,29,173,66,RS,Serbia
RS-MF-SL28,Saša Lukić,22,MF,28,183,77,RS,Serbia
RS-MF-SM29,Sergej Milinković-Savić,20,MF,29,191,76,RS,Serbia
RS-MF-SM30,Srdjan Mijailović,17,MF,30,180,64,RS,Serbia
RS-MF-SZ29,Saša Zdelar,5,MF,29,183,75,RS,Serbia
SCT-DF-AR25,Anthony Ralston,2,DF,25,178,-,SCT,Scotland
SCT-DF-AR30,Andy Robertson,3,DF,30,178,64,SCT,Scotland
SCT-DF-GH32,Grant Hanley,5,DF,32,188,76,SCT,Scotland
SCT-DF-GT26,Greg Taylor,20,DF,26,173,62,SCT,Scotland
SCT-DF-JH29,Jack Hendry,13,DF,29,191,77,SCT,Scotland
SCT-DF-JS27,John Souttar,16,DF,27,183,75,SCT,Scotland
SCT-DF-KT27,Kieran Tierney,6,DF,27,178,70,SCT,Scotland
SCT-DF-LC33,Liam Cooper,5,DF,33,178,73,SCT,Scotland
SCT-DF-NP22,Nathan Patterson,22,DF,22,188,-,SCT,Scotland
SCT-DF-RM26,Ross McCrorie,1,DF,26,188,68,SCT,Scotland
SCT-DF-RP25,Ryan Porteous,15,DF,25,188,-,SCT,Scotland
SCT-DF-SM27,Scott McKenna,16,DF,27,188,73,SCT,Scotland
SCT-FW-CA28,Che Adams,10,FW,28,173,70,SCT,Scotland
SCT-FW-LD28,Lyndon Dykes,9,FW,28,178,60,SCT,Scotland
SCT-FW-LS29,Lawrence Shankland,18,FW,29,183,75,SCT,Scotland
SCT-FW-RC29,Ryan Christie,11,FW,29,178,70,SCT,Scotland
SCT-GK-AG28,Angus Gunn,1,GK,28,196,77,SCT,Scotland
SCT-GK-BR41,Bogdan Racovițan,24,GK,41,191,83,SCT,Scotland
SCT-GK-LK28,Liam Kelly,12,GK,28,188,77,SCT,Scotland
SCT-GK-ZC32,Zander Clark,21,GK,32,191,77,SCT,Scotland
SCT-MF-BG23,Billy Gilmour,14,MF,23,165,65,SCT,Scotland
SCT-MF-CM31,Callum McGregor,8,MF,31,178,67,SCT,Scotland
SCT-MF-JM29,John McGinn,7,MF,29,178,68,SCT,Scotland
SCT-MF-KM32,Kenny McLean,23,MF,32,183,70,SCT,Scotland
SCT-MF-LF24,Lewis Ferguson,19,MF,24,180,-,SCT,Scotland
SCT-MF-SA32,Stuart Armstrong,17,MF,32,183,75,SCT,Scotland
SCT-MF-SM27,Scott McTominay,4,MF,27,191,88,SCT,Scotland
SI-DF-DB25,David Brekalo,23,DF,25,185,88,SI,Slovenia
SI-DF-EJ31,Erik Janza,13,DF,31,173,75,SI,Slovenia
SI-DF-JB29,Jure Balkovec,3,DF,29,183,73,SI,Slovenia
SI-DF-MB31,Miha Blažič,4,DF,31,183,78,SI,Slovenia
SI-DF-PS28,Petar Stojanović,20,DF,28,178,72,SI,Slovenia
SI-DF-VD24,Vanja Drkušić,21,DF,24,185,82,SI,Slovenia
SI-DF-ŽK29,Žan Karničnik,2,DF,29,183,69,SI,Slovenia
SI-FW-AŠ30,Andraž Šporar,9,FW,30,185,80,SI,Slovenia
SI-FW-BS21,Benjamin Seško,11,FW,21,193,-,SI,Slovenia
SI-FW-JM25,Jan Mlakar,17,FW,25,183,78,SI,Slovenia
SI-FW-NZ24,Nino Žugelj,24,FW,24,183,-,SI,Slovenia
SI-FW-TE26,Timi Elšnik,10,FW,26,180,65,SI,Slovenia
SI-FW-ŽC25,Žan Celar,19,FW,25,185,82,SI,Slovenia
SI-FW-ZV22,Žan Vipotnik,18,FW,22,183,-,SI,Slovenia
SI-GK-IV26,Igor Vekić,16,GK,26,191,86,SI,Slovenia
SI-GK-JO31,Jan Oblak,1,GK,31,188,87,SI,Slovenia
SI-GK-VB34,Vid Belec,12,GK,34,191,84,SI,Slovenia
SI-MF-AG25,Adam Gnezda Čerin,22,MF,25,173,-,SI,Slovenia
SI-MF-BV30,Benjamin Verbič,7,MF,30,178,78,SI,Slovenia
SI-MF-JB25,Jaka Bijol,6,MF,25,188,85,SI,Slovenia
SI-MF-JG28,Jon Gorenc Stanković,5,MF,28,188,78,SI,Slovenia
SI-MF-JK35,Jasmin Kurtić,14,MF,35,185,88,SI,Slovenia
SI-MF-SL26,Sandi Lovrić,8,MF,26,178,70,SI,Slovenia
SI-MF-TH25,Tomi Horvat,15,MF,25,173,69,SI,Slovenia
SK-DF-AO21,Adam Obert,4,DF,21,188,-,SK,Slovakia
SK-DF-DH26,David Hancko,16,DF,26,188,79,SK,Slovakia
SK-DF-DV28,Denis Vavro,3,DF,28,188,-,SK,Slovakia
SK-DF-LS28,Ľubomír Satka,5,DF,28,188,78,SK,Slovakia
SK-DF-MK27,Marek Kristián Bartoš,3,DF,27,191,81,SK,Slovakia
SK-DF-MT25,Michal Tomič,14,DF,25,180,77,SK,Slovakia
SK-DF-NG32,Norbert Gyömbér,6,DF,32,188,74,SK,Slovakia
SK-DF-PP37,Peter Pekarík,2,DF,37,175,73,SK,Slovakia
SK-DF-SK20,Sebastián Kosa,2,DF,20,188,80,SK,Slovakia
SK-DF-TN23,Tomáš Nemčík,25,DF,23,188,-,SK,Slovakia
SK-DF-Vd31,Vernon de Marco,15,DF,31,180,73,SK,Slovakia
SK-FW-DD25,David Duriš,21,FW,25,185,-,SK,Slovakia
SK-FW-IS30,Ivan Schranz,18,FW,30,185,80,SK,Slovakia
SK-FW-LS18,Leo Sauer,24,FW,18,178,-,SK,Slovakia
SK-FW-LT26,Ľubomír Tupta,10,FW,26,178,72,SK,Slovakia
SK-FW-RB24,Róbert Boženík,9,FW,24,188,67,SK,Slovakia
SK-FW-RM33,Robert Mak,20,FW,33,178,78,SK,Slovakia
SK-FW-RP28,Róbert Polievka,10,FW,28,180,74,SK,Slovakia
SK-GK-DT25,Dominik Takáč,1,GK,25,193,85,SK,Slovakia
SK-GK-HR27,Henrich Ravas,23,GK,27,191,83,SK,Slovakia
SK-GK-MD35,Martin Dúbravka,1,GK,35,188,80,SK,Slovakia
SK-GK-MR27,Marek Rodák,12,GK,27,193,69,SK,Slovakia
SK-MF-AC30,Aleksandar Čavrić,,MF,30,185,82,SK,Slovakia
SK-MF-DH20,Dominik Holý,26,MF,20,175,73,SK,Slovakia
SK-MF-JK37,Juraj Kucka,19,MF,37,185,80,SK,Slovakia
SK-MF-LB26,László Benés,11,MF,26,180,72,SK,Slovakia
SK-MF-LH28,Lukáš Haraslín,17,MF,28,180,71,SK,Slovakia
SK-MF-MK24,Matúš Kmet,5,MF,24,173,64,SK,Slovakia
SK-MF-OD29,Ondrej Duda,8,MF,29,180,75,SK,Slovakia
SK-MF-PH32,Patrik Hrošovský,13,MF,32,173,69,SK,Slovakia
SK-MF-SL29,Stanislav Lobotka,22,MF,29,168,64,SK,Slovakia
SK-MF-TR22,Tomáš Rigo,18,MF,22,183,-,SK,Slovakia
SK-MF-TS22,Tomáš Suslov,7,MF,22,175,-,SK,Slovakia
TR-DF-AB29,Abdülkerim Bardakçı,14,DF,29,188,80,TR,Turkey
TR-DF-AK21,Ahmetcan Kaplan,,DF,21,188,-,TR,Turkey
TR-DF-CO23,Cenk Özkacar,13,DF,23,188,-,TR,Turkey
TR-DF-FK24,Ferdi Kadıoğlu,20,DF,24,173,68,TR,Turkey
TR-DF-KA29,Kaan Ayhan,22,DF,29,183,84,TR,Turkey
TR-DF-MD26,Merih Demiral,3,DF,26,191,85,TR,Turkey
TR-DF-MM25,Mert Müldür,18,DF,25,188,74,TR,Turkey
TR-DF-OK24,Ozan Kabak,15,DF,24,185,86,TR,Turkey
TR-DF-RY23,Rıdvan Yılmaz,13,DF,23,173,60,TR,Turkey
TR-DF-SA30,Samet Aykadın,4,DF,30,188,83,TR,Turkey
TR-DF-ZC27,Zeki Çelik,2,DF,27,178,-,TR,Turkey
TR-FW-CÜ27,Cengiz Ünder,17,FW,27,173,66,TR,Turkey
TR-FW-EÜ27,Enes Ünal,9,FW,27,185,78,TR,Turkey
TR-FW-KA25,Kerem Aktürkoğlu,7,FW,25,173,68,TR,Turkey
TR-FW-OA23,Oğuz Aydın,26,FW,23,183,-,TR,Turkey
TR-FW-SK18,Semih Kılıçsoy,,FW,18,178,-,TR,Turkey
TR-FW-YA24,Yunus Akgün,24,FW,24,173,65,TR,Turkey
TR-FW-YY27,Yusuf Yazıcı,11,FW,27,183,75,TR,Turkey
TR-GK-MG35,Mert Günok,1,GK,35,196,92,TR,Turkey
TR-GK-MS27,Muhammed Şengezer,12,GK,27,191,75,TR,Turkey
TR-GK-OK29,Okan Koçuk,12,GK,29,185,79,TR,Turkey
TR-GK-UÇ28,Uğurcan Çakır,23,GK,28,191,78,TR,Turkey
TR-MF-AG19,Arda Güler,17,MF,19,175,-,TR,Turkey
TR-MF-AÖ25,Abdülkadir Ömür,20,MF,25,168,62,TR,Turkey
TR-MF-BY24,Barış Yılmaz,21,MF,24,185,-,TR,Turkey
TR-MF-CY18,Can Yılmaz Uzun,25,MF,18,185,-,TR,Turkey
TR-MF-HÇ30,Hakan Çalhanoğlu,10,MF,30,178,76,TR,Turkey
TR-MF-IK29,İrfan Kahveci,8,MF,29,173,67,TR,Turkey
TR-MF-IY25,İsmail Yüksel,16,MF,25,183,-,TR,Turkey
TR-MF-KY19,Kenan Yıldız,19,MF,19,187,-,TR,Turkey
TR-MF-OK23,Orkun Kökçü,6,MF,23,173,70,TR,Turkey
TR-MF-SO26,Salih Özcan,5,MF,26,180,74,TR,Turkey
UA-DF-BM27,Bogdan Mykhaylichenko,3,DF,27,178,68,UA,Ukraine
UA-DF-IZ21,Illia Zabarnyi,13,DF,21,185,81,UA,Ukraine
UA-DF-MM28,Mykola Matvienko,22,DF,28,180,74,UA,Ukraine
UA-DF-MT24,Maksym Talovierov,4,DF,24,193,84,UA,Ukraine
UA-DF-OT27,Oleksandr Tymchyk,21,DF,27,178,67,UA,Ukraine
UA-DF-OZ27,Oleksandr Zinchenko,17,DF,27,173,64,UA,Ukraine
UA-DF-VB22,Volodymyr Brazhko,14,DF,22,183,-,UA,Ukraine
UA-DF-VB25,Valerii Bondar,19,DF,25,170,73,UA,Ukraine
UA-DF-VM25,Vitaliy Mykolenko,16,DF,25,183,71,UA,Ukraine
UA-DF-YK24,Yukhym Konoplya,2,DF,24,178,74,UA,Ukraine
UA-FW-AD27,Artem Dovbyk,11,FW,27,183,76,UA,Ukraine
UA-FW-MM23,Mykhailo Mudryk,10,FW,23,173,61,UA,Ukraine
UA-FW-MS25,Mykola Shaparenko,6,FW,25,175,67,UA,Ukraine
UA-FW-RY28,Roman Yaremchuk,9,FW,28,191,74,UA,Ukraine
UA-FW-VA22,Vladyslav Andriyovych Vanat,18,FW,22,180,-,UA,Ukraine
UA-FW-VT26,Viktor Tsygankov,15,FW,26,173,71,UA,Ukraine
UA-GK-AL25,Andriy Lunin,23,GK,25,191,80,UA,Ukraine
UA-GK-AT23,Anatolii Trubin,12,GK,23,198,86,UA,Ukraine
UA-GK-GB30,Georgiy Bushchan,1,GK,30,196,93,UA,Ukraine
UA-MF-GS21,Georgiy Sudakov,7,MF,21,175,68,UA,Ukraine
UA-MF-OZ28,Oleksandr Zubkov,20,MF,28,180,78,UA,Ukraine
UA-MF-RM31,Ruslan Malinovskyi,8,MF,31,180,79,UA,Ukraine
UA-MF-SS33,Serhiy Sydorchuk,5,MF,33,183,79,UA,Ukraine
