id,Position,Name,actual_age,Club Team,national_id,Country
PL-MF-TR32,MF,Taras Romanczuk,32,Jagiellonia Bialystok,PL,Poland
PL-MF-KU19,MF,Kacper Urbański,19,Bologna,PL,Poland
PL-FW-RL36,FW,Robert Lewandowski,35,Barcelona,PL,Poland
PL-FW-AM30,FW,Arkadiusz Milik,30,Juventus,PL,Poland
PL-FW-KS27,FW,Karol Świderski,27,Verona,PL,Poland
PL-FW-KP29,FW,Krzysztof Piątek,28,Istanbul Basaksehir,PL,Poland
PL-FW-AB28,FW,Adam Buksa,27,Antalyaspor,PL,Poland
PT-GK-RP36,GK,Rui Patrício,36,Roma,PT,Portugal
PT-GK-JS31,GK,José Sá,31,Wolves,PT,Portugal
PT-GK-DC24,GK,Diogo Costa,24,Porto,PT,Portugal
PT-DF-NS30,DF,Nélson Semedo,30,Wolves,PT,Portugal
PT-DF-AS20,DF,António Silva,20,Benfica,PT,Portugal
PT-DF-DP32,DF,Danilo Pereira,32,PSG,PT,Portugal
PT-DF-JC30,DF,João Cancelo,30,Barcelona,PT,Portugal
PT-DF-RD27,DF,Rúben Dias,27,Manchester City,PT,Portugal
PT-DF-P41,DF,Pepe,41,Porto,PT,Portugal
PT-DF-GI22,DF,Gonçalo Inácio,22,Sporting Lisbon,PT,Portugal
PT-DF-DD25,DF,Diogo Dalot,25,Manchester United,PT,Portugal
PT-DF-NM22,DF,Nuno Mendes,30,PSG,PT,Portugal
PT-MF-JP29,MF,João Palhinha,28,Fulham,PT,Portugal
PT-MF-BF29,MF,Bruno Fernandes,29,Manchester United,PT,Portugal
PT-MF-O29,MF,Otávio,29,Al Nassr,PT,Portugal
PT-MF-RN27,MF,Rúben Neves,27,Al Hilal,PT,Portugal
PT-MF-V24,MF,Vítinha,24,PSG,PT,Portugal
PT-MF-JN21,MF,João Neves,21,Benfica,PT,Portugal
PT-MF-BS30,MF,Bernardo Silva,29,Manchester City,PT,Portugal
PT-FW-GR23,FW,Gonçalo Ramos,22,PSG,PT,Portugal
PT-FW-JF24,FW,João Félix,24,Barcelona,PT,Portugal
PT-FW-RL25,FW,Rafael Leão,24,AC Milan,PT,Portugal
PT-FW-FC21,FW,Francisco Conceição,21,Porto,PT,Portugal
PT-FW-CR39,FW,Cristiano Ronaldo,39,Al Nassr,PT,Portugal
PT-FW-DJ27,FW,Diogo Jota,27,Liverpool,PT,Portugal
PT-FW-PN24,FW,Pedro Neto,24,Wolves,PT,Portugal
RO-MF-FN31,GK,Florin Niță,31,Gaziantep,RO,Romania
RO-DF-HM25,GK,Horațiu Moldovan,26,Atlético Madrid,RO,Romania
RO-GK-ST22,GK,Ștefan Târnovanu,22,FCSB,RO,Romania
RO-GK-RS21,GK,Răzvan Sava,21,CFR Cluj,RO,Romania
RO-DF-NB31,DF,Nicușor Bancu,31,Universitatea Craiova,RO,Romania
RO-DF-AB27,DF,Andrei Burcă,27,Al-Okhdood,RO,Romania
RO-MF-IN31,DF,Ionuț Nedelcearu,28,Palermo,RO,Romania
RO-GK-AR26,DF,Adrian Rus,26,Pafos,RO,Romania
RO-DF-AR24,DF,Andrei Rațiu,24,Rayo Vallecano,RO,Romania
RO-DF-RD22,DF,Radu Drăgușin,22,Tottenham Hotspur,RO,Romania
RO-FW-VM29,DF,Vasile Mogoș,31,CFR Cluj,RO,Romania
SCT-GK-BR41,DF,Bogdan Racovițan,41,Raków Częstochowa,RO,Romania
RO-FW-NS28,MF,Nicolae Stanciu,28,Damac,RO,Romania
RO-DF-RM28,MF,Răzvan Marin,28,Empoli,RO,Romania
RO-DF-AC31,MF,Alexandru Cicâldău,26,Konyaspor,RO,Romania
RO-MF-IH25,MF,Ianis Hagi,25,Alavés,RO,Romania
RO-MF-DM26,MF,Dennis Man,25,Parma,RO,Romania
RO-MF-VM25,MF,Valentin Mihăilă,25,Parma,RO,Romania
RO-MF-MM26,MF,Marius Marin,26,Pisa,RO,Romania
RO-GK-DO27,MF,Darius Olaru,27,FCSB,RO,Romania
RO-MF-DS26,MF,Deian Sorescu,26,Gaziantep,RO,Romania
RO-MF-FC25,MF,Florinel Coman,25,FCSB,RO,Romania
RO-DF-AS28,MF,Adrian Șut,28,FCSB,RO,Romania
RO-MF-CG21,MF,Constantin Grameni,21,Farul Constanța,RO,Romania
RO-FW-GP28,FW,George Pușcaș,28,Bari,RO,Romania
RO-FW-DA33,FW,Denis Alibec,33,Muaither,RO,Romania
RO-GK-DD24,FW,Denis Drăguș,24,Gaziantep,RO,Romania
RO-FW-DB24,FW,Daniel Bîrligea,24,CFR Cluj,RO,Romania
SCT-GK-CG41,GK,Craig Gordon,41,Hearts,SCT,Scotland
SCT-GK-AG28,GK,Angus Gunn,28,Norwich City,SCT,Scotland
SCT-GK-ZC32,GK,Zander Clark,31,Rangers,SCT,Scotland
SCT-GK-LK28,GK,Liam Kelly,28,Motherwell,SCT,Scotland
SCT-DF-AR30,DF,Andy Robertson,30,Liverpool,SCT,Scotland
SCT-DF-KT27,DF,Kieran Tierney,27,Real Sociedad,SCT,Scotland
SCT-DF-JH29,DF,Jack Hendry,29,Al Ettifaq,SCT,Scotland
SCT-DF-RP25,DF,Ryan Porteous,25,Watford,SCT,Scotland
SCT-DF-LC33,DF,Liam Cooper,32,Leeds United,SCT,Scotland
SCT-DF-SM27,DF,Scott McKenna,27,FC Copenhagen,SCT,Scotland
SCT-DF-GH32,DF,Grant Hanley,32,Norwich City,SCT,Scotland
SCT-DF-GT26,DF,Greg Taylor,26,Celtic,SCT,Scotland
SCT-DF-JS27,DF,John Souttar,27,Rangers,SCT,Scotland
SCT-DF-AR25,DF,Anthony Ralston,25,Celtic,SCT,Scotland
SCT-DF-RM26,DF,Ross McCrorie,26,Bristol City,SCT,Scotland
SCT-MF-CM31,MF,Callum McGregor,30,Celtic,SCT,Scotland
SCT-FW-RC29,MF,Ryan Christie,29,Bournemouth,SCT,Scotland
SCT-MF-BG23,MF,Billy Gilmour,22,Brighton & Hove Albion,SCT,Scotland
SCT-MF-JM29,MF,John McGinn,29,Aston Villa,SCT,Scotland
SCT-MF-KM32,MF,Kenny McLean,32,Norwich City,SCT,Scotland
SCT-MF-SM27,MF,Scott McTominay,27,Manchester United,SCT,Scotland
SCT-MF-SA32,MF,Stuart Armstrong,32,Southampton,SCT,Scotland
SCT-MF-RJ32,MF,Ryan Jack,32,Rangers,SCT,Scotland
SCT-FW-LD28,FW,Lyndon Dykes,28,QPR,SCT,Scotland
SCT-FW-CA28,FW,Che Adams,27,Southampton,SCT,Scotland
SCT-FW-LS29,FW,Lawrence Shankland,29,Hearts,SCT,Scotland
SCT-FW-BD18,FW,Ben Doak,18,Liverpool,SCT,Scotland
SCT-FW-JF32,FW,James Forrest,32,Celtic,SCT,Scotland
RS-GK-PR28,GK,Predrag Rajković,28,Mallorca,RS,Serbia
RS-GK-VM27,GK,Vanja Milinković-Savić,27,Torino,RS,Serbia
RS-GK-DP24,GK,Đorđe Petrović,24,Chelsea,RS,Serbia
RS-DF-NG32,DF,Nemanja Gudelj,32,Sevilla,RS,Serbia
RS-DF-NM26,DF,Nikola Milenković,31,Fiorentina,RS,Serbia
RS-DF-SP23,DF,Strahinja Pavlović,23,Red Bull Salzburg,RS,Serbia
RS-DF-FM33,DF,Filip Mladenović,32,Panathinaikos,RS,Serbia
RS-DF-MV28,DF,Miloš Veljković,28,Werder Bremen,RS,Serbia
RS-DF-US31,DF,Uroš Spajić,31,Red Star Belgrade,RS,Serbia
RS-DF-SB28,DF,Srđan Babić,28,Spartak Moscow,RS,Serbia
RS-DF-NS30,DF,Nemanja Stojić,30,TSC,RS,Serbia
RS-FW-DT35,MF,Dušan Tadić,35,Fenerbahçe,RS,Serbia
RS-MF-FK31,MF,Filip Kostić,31,Juventus,RS,Serbia
RS-MF-SM29,MF,Sergej Milinković-Savić,29,Al Hilal,RS,Serbia
RS-MF-NM29,MF,Nemanja Maksimović,29,Getafe,RS,Serbia
RS-MF-SL28,MF,Saša Lukić,27,Fulham,RS,Serbia
RS-FW-AZ28,MF,Andrija Živković,27,PAOK,RS,Serbia
RS-MF-MG29,MF,Mijat Gaćinović,29,AEK Athens,RS,Serbia
RS-MF-II23,MF,Ivan Ilić,23,Torino,RS,Serbia
RS-MF-SM30,MF,Srđan Mijailović,30,Red Star Belgrade,RS,Serbia
RS-MF-LS22,MF,Lazar Samardžić,22,Udinese,RS,Serbia
RS-MF-VB26,MF,Veljko Birmančević,26,Sparta Prague,RS,Serbia
RS-FW-AM29,FW,Aleksandar Mitrović,29,Al Hilal,RS,Serbia
RS-FW-LJ26,FW,Luka Jović,26,Milan,RS,Serbia
RS-FW-DV24,FW,Dušan Vlahović,24,Juventus,RS,Serbia
RS-FW-PR20,FW,Petar Ratkov,20,Red Bull Salzburg,RS,Serbia
SK-GK-MD35,GK,Martin Dúbravka,35,Newcastle United,SK,Slovakia
SK-GK-MR27,GK,Marek Rodák,27,Fulham,SK,Slovakia
SK-GK-HR27,GK,Henrich Ravas,27,New England Revolution,SK,Slovakia
SK-GK-DT25,GK,Dominik Takáč,25,Spartak Trnava,SK,Slovakia
SK-DF-PP37,DF,Peter Pekarík,37,Hertha BSC,SK,Slovakia
SK-DF-MS29,DF,Milan Škriniar,29,Paris Saint-Germain,SK,Slovakia
SK-DF-NG32,DF,Norbert Gyömbér,32,Salernitana,SK,Slovakia
SK-DF-DH26,DF,Dávid Hancko,26,Feyenoord,SK,Slovakia
SK-DF-DV28,DF,Denis Vavro,28,Copenhagen,SK,Slovakia
SK-DF-Vd31,DF,Vernon De Marco,31,Hatta,SK,Slovakia
SK-DF-MT25,DF,Michal Tomič,25,Slavia Prague,SK,Slovakia
SK-DF-AO21,DF,Adam Obert,21,Cagliari,SK,Slovakia
SK-DF-MK23,DF,Matúš Kmeť,23,AS Trenčín,SK,Slovakia
SK-DF-SK20,DF,Sebastian Kóša,20,Spartak Trnava,SK,Slovakia
SK-MF-JK37,MF,Juraj Kucka,37,Slovan Bratislava,SK,Slovakia
SK-MF-OD29,MF,Ondrej Duda,28,Hellas Verona,SK,Slovakia
SK-MF-PH32,MF,Patrik Hrošovský,32,Genk,SK,Slovakia
SK-MF-SL29,MF,Stanislav Lobotka,29,Napoli,SK,Slovakia
SK-MF-MB28,MF,Matúš Bero,28,VfL Bochum,SK,Slovakia
SK-MF-LB26,MF,László Bénes,26,Hamburger SV,SK,Slovakia
SK-MF-JK23,MF,Jakub Kadák,23,Luzern,SK,Slovakia
SK-MF-DH20,MF,Dominik Hollý,20,AS Trenčín,SK,Slovakia
SK-FW-RB24,FW,Róbert Boženík,24,Boavista,SK,Slovakia
SK-MF-LH28,FW,Lukáš Haraslín,28,Sparta Prague,SK,Slovakia
SK-MF-TS22,FW,Tomáš Suslov,21,Hellas Verona,SK,Slovakia
SK-FW-IS30,FW,Ivan Schranz,30,Slavia Prague,SK,Slovakia
SK-FW-DS23,FW,David Strelec,23,Slovan Bratislava,SK,Slovakia
SK-FW-DD25,FW,Dávid Ďuriš,25,Ascoli,SK,Slovakia
SK-FW-RP28,FW,Róbert Polievka,28,Dukla Banská Bystrica,SK,Slovakia
SK-FW-LT26,FW,Ľubomír Tupta,26,Slovan Liberec,SK,Slovakia
SK-FW-LS18,FW,Leo Sauer,18,Feyenoord,SK,Slovakia
SI-GK-JO31,GK,Jan Oblak,31,Atletico Madrid,SI,Slovenia
SI-GK-VB34,GK,Vid Belec,34,APOEL,SI,Slovenia
SI-GK-IV26,GK,Igor Vekić,26,Vejle,SI,Slovenia
SI-GK-MV24,GK,Matevž Vidovšek,24,Olimpija Ljubljana,SI,Slovenia
SI-DF-PS28,DF,Petar Stojanović,28,Sampdoria,SI,Slovenia
SI-MF-JB25,DF,Jaka Bijol,25,Udinese,SI,Slovenia
SI-DF-MB31,DF,Miha Blažič,31,Lech Poznan,SI,Slovenia
SI-DF-JB29,DF,Jure Balkovec,29,Alanyaspor,SI,Slovenia
SI-DF-ZK29,DF,Žan Karničnik,29,Celje,SI,Slovenia
SI-DF-DB25,DF,David Brekalo,25,Orlando City,SI,Slovenia
SI-DF-EJ31,DF,Erik Janza,31,Gornik Zabrze,SI,Slovenia
SI-DF-VD24,DF,Vanja Drkušić,24,Sochi,SI,Slovenia
SI-DF-ZZ24,DF,Žan Zaletel,24,Viborg,SI,Slovenia
SI-MF-JK35,MF,Jasmin Kurtić,35,Sudtirol,SI,Slovenia
SI-MF-BV30,MF,Benjamin Verbič,30,Panathinaikos,SI,Slovenia
SI-MF-MZ29,MF,Miha Zajc,29,Fenerbahce,SI,Slovenia
SI-MF-SL26,MF,Sandi Lovrić,26,Udinese,SI,Slovenia
SI-MF-AG25,MF,Adam Gnezda Čerin,24,Panathinaikos,SI,Slovenia
SI-MF-JG28,MF,Jon Gorenc Stanković,28,Sturm Graz,SI,Slovenia
SI-MF-TM26,MF,Timi Max Elšnik,26,Olimpija Ljubljana,SI,Slovenia
SI-MF-TH25,MF,Tomi Horvat,25,Sturm Graz,SI,Slovenia
SI-MF-AZ21,MF,Adrian Željković,21,Spartak Trnava,SI,Slovenia
SI-FW-NZ24,MF,Nino Žugelj,24,Bodo/Glimt,SI,Slovenia
SI-FW-JI36,FW,Josip Iličić,36,Maribor,SI,Slovenia
SI-FW-AS30,FW,Andraž Šporar,30,Panathinaikos,SI,Slovenia
SI-FW-BS21,FW,Benjamin Šeško,21,RB Leipzig,SI,Slovenia
SI-FW-LZ28,FW,Luka Zahović,28,Pognon Szczecin,SI,Slovenia
SI-FW-ZC25,FW,Žan Celar,25,Lugano,SI,Slovenia
SI-FW-JM25,FW,Jan Mlakar,25,Pisa,SI,Slovenia
SI-FW-ZV22,FW,Žan Vipotnik,22,Bordeaux,SI,Slovenia
ES-GK-AR29,GK,Álex Remiro,29,Real Sociedad,ES,Spain
ES-GK-DR28,GK,David Raya,28,Arsenal,ES,Spain
ES-GK-US27,GK,Unai Simón,26,Athletic Bilbao,ES,Spain
ES-DF-DC32,DF,Dani Carvajal,32,Real Madrid,ES,Spain
ES-DF-PC17,DF,Pau Cubarsi,17,Barcelona,ES,Spain
ES-DF-MC26,DF,Marc Cucurella,26,Chelsea,ES,Spain
ES-DF-AG28,DF,Álex Grimaldo,28,Bayer Leverkusen,ES,Spain
ES-DF-AL30,DF,Aymeric Laporte,30,Al Nassr,ES,Spain
ES-DF-RL27,DF,Robin Le Normand,27,Real Sociedad,ES,Spain
ES-DF-JN38,DF,Jesús Navas,38,Sevilla,ES,Spain
ES-DF-N34,DF,Nacho,34,Real Madrid,ES,Spain
ES-DF-DV25,DF,Dani Vivian,25,Athletic Bilbao,ES,Spain
ES-MF-AB22,MF,Álex Baena,22,Villarreal,ES,Spain
ES-MF-AG26,MF,Aleix García,26,Girona,ES,Spain
ES-MF-ML29,MF,Marcos Llorente,29,Atletico Madrid,ES,Spain
ES-MF-MM28,MF,Mikel Merino,27,Real Sociedad,ES,Spain
ES-MF-P21,MF,Pedri,21,Barcelona,ES,Spain
ES-MF-R28,MF,Rodri,27,Manchester City,ES,Spain
ES-MF-FR28,MF,Fabián Ruiz,28,PSG,ES,Spain
ES-MF-MZ25,MF,Martín Zubimendi,25,Real Sociedad,ES,Spain
ES-FW-J34,FW,Joselu,34,Real Madrid,ES,Spain
ES-FW-AM31,FW,Álvaro Morata,31,Atletico Madrid,ES,Spain
ES-FW-AP30,FW,Ayoze Pérez,30,Real Betis,ES,Spain
ES-MF-DO26,FW,Dani Olmo,26,RB Leipzig,ES,Spain
ES-FW-MO27,FW,Mikel Oyarzabal,27,Real Sociedad,ES,Spain
ES-FW-FT24,FW,Ferran Torres,24,Barcelona,ES,Spain
ES-FW-NW22,FW,Nico Williams,22,Athletic Bilbao,ES,Spain
ES-FW-LY16,FW,Lamine Yamal,16,Barcelona,ES,Spain
CH-GK-MK21,GK,Marvin Keller,21,Winterthur,CH,Switzerland
CH-GK-GK26,GK,Gregor Kobel,26,Borussia Dortmund,CH,Switzerland
CH-GK-PL21,GK,Pascal Loretz,21,Luzern,CH,Switzerland
CH-GK-YM30,GK,Yvon Mvogo,30,Lorient,CH,Switzerland
CH-GK-YS35,GK,Yann Sommer,35,Inter Milan,CH,Switzerland
CH-DF-MA29,DF,Manuel Akanji,28,Manchester City,CH,Switzerland
CH-DF-AA20,DF,Aurèle Amenda,20,Young Boys,CH,Switzerland
CH-DF-NE27,DF,Nico Elvedi,27,Borussia Mönchengladbach,CH,Switzerland
CH-DF-UG28,DF,Ulisses Garcia,28,Marseille,CH,Switzerland
CH-DF-AH21,DF,Albian Hajdari,21,Lugano,CH,Switzerland
CH-DF-KM29,DF,Kevin Mbabu,29,Augsburg,CH,Switzerland
CH-DF-BO23,DF,Bryan Okoh,23,Salzburg,CH,Switzerland
CH-DF-BO22,DF,Bećir Omeragić,22,Montpellier,CH,Switzerland
CH-DF-RR31,DF,Ricardo Rodriguez,31,Torino,CH,Switzerland
CH-DF-FS32,DF,Fabian Schär,32,Newcastle United,CH,Switzerland
CH-DF-LS22,DF,Leonidas Stergiou,22,VfB Stuttgart,CH,Switzerland
CH-DF-SW31,DF,Silvan Widmer,31,Mainz 05,CH,Switzerland
CH-DF-CZ26,DF,Cédric Zesiger,25,VfL Wolfsburg,CH,Switzerland
CH-MF-MA27,MF,Michel Aebischer,27,Bologna,CH,Switzerland
CH-MF-UB24,MF,Uran Bislimi,24,Lugano,CH,Switzerland
CH-MF-RF32,MF,Remo Freuler,32,,CH,Switzerland
CH-MF-AJ21,MF,Ardon Jashari,21,Luzern,CH,Switzerland
CH-MF-FR25,MF,Fabian Rieder,25,Rennes,CH,Switzerland
CH-MF-XS32,MF,Xherdan Shaqiri,32,Chicago Fire FC,CH,Switzerland
CH-MF-VS28,MF,Vincent Sierro,28,Toulouse,CH,Switzerland
CH-MF-FU25,MF,Filip Ugrinic,25,Young Boys,CH,Switzerland
CH-MF-GX31,MF,Granit Xhaka,31,Bayer Leverkusen,CH,Switzerland
CH-MF-DZ27,MF,Denis Zakaria,27,Monaco,CH,Switzerland
CH-FW-ZA23,FW,Zeki Amdouni,23,Burnley,CH,Switzerland
CH-FW-KD27,FW,Kwadwo Duah,27,Ludogorets Razgrad,CH,Switzerland
CH-FW-BE27,FW,Breel Embolo,27,Monaco,CH,Switzerland
CH-FW-JM24,FW,Joël Monteiro,24,Young Boys,CH,Switzerland
CH-FW-DN23,FW,Dan Ndoye,23,Bologna,CH,Switzerland
CH-FW-NO24,FW,Noah Okafor,23,Milan,CH,Switzerland
CH-FW-RS32,FW,Renato Steffen,32,Lugano,CH,Switzerland
CH-MF-RV26,FW,Ruben Vargas,25,Augsburg,CH,Switzerland
CH-FW-AZ24,FW,Andi Zeqiri,24,Genk,CH,Switzerland
CH-FW-SZ32,FW,Steven Zuber,32,AEK,CH,Switzerland
TR-GK-MG35,GK,Mert Günok,35,Beşiktaş,TR,Turkey
TR-GK-UC28,GK,Uğurcan Çakır,28,Trabzonspor,TR,Turkey
TR-GK-AB26,GK,Altay Bayındır,26,Manchester United,TR,Turkey
TR-GK-DA21,GK,Doğan Alemdar,21,Troyes,TR,Turkey
TR-DF-CS28,DF,Çağlar Söyüncü,28,Fenerbahçe,TR,Turkey
TR-DF-ZC27,DF,Zeki Çelik,27,Roma,TR,Turkey
TR-DF-MD26,DF,Merih Demiral,26,Al-Ahli,TR,Turkey
TR-DF-OK24,DF,Ozan Kabak,24,TSG Hoffenheim,TR,Turkey
TR-DF-MM25,DF,Mert Müldür,25,Fenerbahçe,TR,Turkey
TR-DF-FK24,DF,Ferdi Kadıoğlu,24,Fenerbahçe,TR,Turkey
TR-DF-CO23,DF,Cenk Özkacar,23,Valencia,TR,Turkey
TR-DF-AB29,DF,Abdülkerim Bardakçı,29,Galatasaray,TR,Turkey
TR-DF-SA30,DF,Samet Akaydin,30,Panathinaikos,TR,Turkey
TR-DF-AK21,DF,Ahmetcan Kaplan,21,Ajax,TR,Turkey
TR-MF-HC30,MF,Hakan Çalhanoğlu,30,Inter Milan,TR,Turkey
TR-DF-KA29,MF,Kaan Ayhan,29,Galatasaray,TR,Turkey
TR-MF-OY24,MF,Okay Yokuşlu,24,West Bromwich Albion,TR,Turkey
TR-MF-OK23,MF,Orkun Kökçü,23,Benfica,TR,Turkey
TR-MF-SO26,MF,Salih Özcan,26,Borussia Dortmund,TR,Turkey
TR-MF-IY25,MF,İsmail Yüksek,25,Fenerbahçe,TR,Turkey
TR-MF-AO25,MF,Abdülkadir Ömür,24,Hull City,TR,Turkey
TR-MF-AG19,MF,Arda Güler,19,Real Madrid,TR,Turkey
TR-MF-BO26,MF,Berat Özdemir,26,Trabzonspor,TR,Turkey
TR-MF-CU18,MF,Can Uzun,18,1. FC Nürnberg,TR,Turkey
TR-FW-CT32,FW,Cenk Tosun,32,Beşiktaş,TR,Turkey
TR-FW-YY27,FW,Yusuf Yazıcı,27,Lille,TR,Turkey
TR-FW-EU27,FW,Enes Ünal,27,Bournemouth,TR,Turkey
TR-FW-IC28,FW,İrfan Can Kahveci,28,Fenerbahçe,TR,Turkey
TR-FW-KA25,FW,Kerem Aktürkoğlu,25,Galatasaray,TR,Turkey
TR-FW-BA24,FW,Barış Alper Yılmaz,24,Galatasaray,TR,Turkey
TR-FW-YA24,FW,Yunus Akgün,24,Leicester City,TR,Turkey
TR-MF-KY19,FW,Kenan Yıldız,19,Juventus,TR,Turkey
TR-FW-BY21,FW,Bertuğ Yıldırım,21,Rennes,TR,Turkey
TR-FW-OA23,FW,Oğuz Aydın,23,Alanyaspor,TR,Turkey
TR-FW-SK18,FW,Semih Kılıçsoy,18,Beşiktaş,TR,Turkey
UA-GK-HB30,GK,Heorhiy Bushchan,30,Dynamo Kyiv,UA,Ukraine
UA-GK-AT22,GK,Anatoliy Trubin,22,Benfica,UA,Ukraine
UA-GK-AL25,GK,Andriy Lunin,25,Real Madrid,UA,Ukraine
UA-DF-MM28,DF,Mykola Matviyenko,28,Shakhtar Donetsk,UA,Ukraine
UA-DF-VM25,DF,Vitaliy Mykolenko,25,Everton,UA,Ukraine
UA-DF-IZ21,DF,Illya Zabarnyi,21,Bournemouth,UA,Ukraine
UA-DF-OT27,DF,Oleksandr Tymchyk,30,Dynamo Kyiv,UA,Ukraine
UA-DF-YK24,DF,Yukhym Konoplya,24,Shakhtar Donetsk,UA,Ukraine
UA-DF-BM27,DF,Bohdan Mykhaylichenko,27,Polissya Zhytomyr,UA,Ukraine
UA-DF-VB25,DF,Valeriy Bondar,25,Shakhtar Donetsk,UA,Ukraine
UA-DF-MT23,DF,Maksym Talovyerov,23,LASK,UA,Ukraine
UA-DF-OS29,DF,Oleksandr Svatok,29,Dnipro-1,UA,Ukraine
UA-MF-SS33,MF,Serhiy Sydorchuk,33,Westerlo,UA,Ukraine
UA-DF-OZ27,MF,Oleksandr Zinchenko,32,Arsenal,UA,Ukraine
UA-MF-RM31,MF,Ruslan Malinovskyi,31,Genoa,UA,Ukraine
UA-MF-VT26,MF,Viktor Tsyhankov,26,Girona,UA,Ukraine
UA-MF-TS34,MF,Taras Stepanenko,34,Shakhtar Donetsk,UA,Ukraine
UA-MF-OZ28,MF,Oleksandr Zubkov,27,Shakhtar Donetsk,UA,Ukraine
UA-FW-MS25,MF,Mykola Shaparenko,25,Dynamo Kyiv,UA,Ukraine
UA-FW-MM23,MF,Mykhailo Mudryk,23,Chelsea,UA,Ukraine
UA-MF-HS21,MF,Heorhiy Sudakov,21,Shakhtar Donetsk,UA,Ukraine
UA-DF-VB22,MF,Volodymyr Brazhko,22,Dynamo Kyiv,UA,Ukraine
UA-FW-RY28,FW,Roman Yaremchuk,28,Valencia,UA,Ukraine
UA-FW-AD27,FW,Artem Dovbyk,26,Girona,UA,Ukraine
UA-FW-VV22,FW,Vladyslav Vanat,22,Dynamo Kyiv,UA,Ukraine
UA-FW-AY34,FW,Andriy Yarmolenko,34,Dynamo Kyiv,UA,Ukraine
